Parsing generated/profiler/.logs/profile_log_device.csv...
Detected Frequency: 1350.0 MHz
Processed 3258053 lines

----------------------------------------------------------------------------------------------------------------------------------
ITERATION ANALYSIS (Freq: 1350.0 MHz) - Grouped by Iteration ID
Metrics are averaged across iterations in each group.
Bottleneck analysis: Max duration across all cores.
----------------------------------------------------------------------------------------------------------------------------------

>>> Group: LARGE_BATCH (IDs < 100) (Count: 1, IDs: [1])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 0.2211          | 0.2211
BRISC           | BRISC-KERNEL                                  | 0.2172          | 0.2172
TRISC_2         | TRISC-FW                                      | 0.2049          | 0.2049
TRISC_0         | TRISC-FW                                      | 0.2045          | 0.2045
TRISC_1         | TRISC-FW                                      | 0.2044          | 0.2044
NCRISC          | NCRISC-FW                                     | 0.2035          | 0.2035
TRISC_2         | TRISC-KERNEL                                  | 0.2019          | 0.2019
TRISC_0         | TRISC-KERNEL                                  | 0.2013          | 0.2013
NCRISC          | NCRISC-KERNEL                                 | 0.2004          | 0.2004
TRISC_1         | TRISC-KERNEL                                  | 0.1977          | 0.1977
TRISC_2         | BATCH-ITERATION                               | 0.1696          | 0.1696
TRISC_1         | BATCH-ITERATION                               | 0.1691          | 0.1691
TRISC_0         | BATCH-ITERATION                               | 0.1690          | 0.1690
NCRISC          | NOC-BARRIER-WAIT-IN0-PADDING                  | 0.1527          | 0.1527
TRISC_0         | CB-WAIT-FRONT                                 | 0.1135          | 0.1135
BRISC           | IN1-STREAM-MCAST                              | 0.0448          | 0.0448
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0322          | 0.0322
BRISC           | READ-IN1-DRAM-TO-SRAM-PADDING                 | 0.0268          | 0.0268
NCRISC          | READ-IN0-DRAM-TO-SRAM-PADDING                 | 0.0061          | 0.0061
TRISC_0         | CB-POP-FRONT                                  | 0.0032          | 0.0032
TRISC_2         | CB-WAIT-FRONT                                 | 0.0010          | 0.0010
TRISC_2         | CB-POP-FRONT                                  | 0.0010          | 0.0010
TRISC_1         | CB-POP-FRONT                                  | 0.0009          | 0.0009
TRISC_1         | CB-WAIT-FRONT                                 | 0.0009          | 0.0009

