Parsing generated/profiler/.logs/profile_log_device.csv...
Detected Frequency: 1350.0 MHz
Processed 138469 lines

----------------------------------------------------------------------------------------------------------------------------------
ITERATION ANALYSIS (Freq: 1350.0 MHz) - Grouped by Iteration ID
Metrics are averaged across iterations in each group.
Bottleneck analysis: Max duration across all cores.
----------------------------------------------------------------------------------------------------------------------------------

>>> Group: MINIBATCH (IDs >= 100) (Count: 8, IDs: [100, 101, 102, 103, 104, 105, 106, 107])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 5.9611          | 5.9621
TRISC_2         | TRISC-FW                                      | 5.9573          | 5.9578
TRISC_1         | TRISC-FW                                      | 5.9573          | 5.9578
BRISC           | BRISC-KERNEL                                  | 5.9573          | 5.9581
TRISC_1         | TRISC-KERNEL                                  | 5.9535          | 5.9538
BRISC           | WAIT-FOR-OUT-TILES                            | 5.9323          | 5.9324
TRISC_1         | PACK-OUTPUT                                   | 5.9261          | 5.9261
TRISC_0         | TRISC-FW                                      | 2.9945          | 2.9949
TRISC_0         | TRISC-KERNEL                                  | 2.9923          | 2.9928
TRISC_0         | CB-WAIT-FRONT                                 | 2.9811          | 2.9814
TRISC_2         | TRISC-KERNEL                                  | 2.9790          | 2.9794
TRISC_1         | MATMUL-TILES                                  | 0.0244          | 0.0248
NCRISC          | NCRISC-FW                                     | 0.0081          | 0.0086
BRISC           | IN1-STREAM-MCAST                              | 0.0079          | 0.0079
TRISC_0         | MATMUL-TILES                                  | 0.0064          | 0.0064
NCRISC          | NCRISC-KERNEL                                 | 0.0051          | 0.0057
TRISC_2         | PACK-OUTPUT                                   | 0.0014          | 0.0015
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0007          | 0.0008
BRISC           | NOC-BARRIER-WAIT-OUT-PADDING                  | 0.0005          | 0.0008
BRISC           | WRITE-OUTPUT-TILES                            | 0.0002          | 0.0002
TRISC_0         | CB-POP-FRONT                                  | 0.0001          | 0.0001
TRISC_0         | PACK-OUTPUT                                   | 0.0001          | 0.0001
BRISC           | CB-POP-FRONT-OUT                              | 0.0001          | 0.0001
TRISC_2         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_1         | CB-POP-FRONT                                  | 0.0000          | 0.0000
TRISC_2         | MATMUL-TILES                                  | 0.0000          | 0.0000
TRISC_1         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_2         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_1         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_2         | CB-POP-FRONT                                  | 0.0000          | 0.0000
TRISC_0         | PACK-WAIT                                     | 0.0000          | 0.0000

>>> Group: IGNORED/WARMUP (Count: 2, IDs: [0, 1053146953])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 29.8127         | 53.6636
BRISC           | BRISC-KERNEL                                  | 29.7932         | 53.6286
BRISC           | WAIT-FOR-OUT-TILES                            | 26.6954         | 53.3908
TRISC_2         | TRISC-FW                                      | 3.0027          | 5.9578
TRISC_1         | TRISC-FW                                      | 3.0021          | 5.9578
TRISC_1         | TRISC-KERNEL                                  | 2.9879          | 5.9536
BRISC           | WAIT-FOR-OUT-TILES                            | 2.9662          | 5.9323
TRISC_1         | PACK-OUTPUT                                   | 2.9630          | 5.9261
TRISC_0         | TRISC-FW                                      | 1.5210          | 2.9950
TRISC_0         | TRISC-KERNEL                                  | 1.5158          | 2.9927
TRISC_2         | TRISC-KERNEL                                  | 1.5019          | 2.9796
TRISC_0         | CB-WAIT-FRONT                                 | 1.4905          | 2.9810
BRISC           | NOC-MCAST-WAIT-PADDING                        | 0.0796          | 0.1592
NCRISC          | NCRISC-FW                                     | 0.0333          | 0.0576
NCRISC          | NCRISC-KERNEL                                 | 0.0251          | 0.0444
TRISC_1         | MATMUL-TILES                                  | 0.0122          | 0.0244
BRISC           | NOC-BARRIER-WAIT-OUT-PADDING                  | 0.0089          | 0.0177
BRISC           | IN1-STREAM-MCAST                              | 0.0039          | 0.0079
TRISC_0         | MATMUL-TILES                                  | 0.0032          | 0.0064
BRISC           | WRITE-OUTPUT-TILES                            | 0.0010          | 0.0020
TRISC_2         | PACK-OUTPUT                                   | 0.0008          | 0.0015
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0004          | 0.0008
BRISC           | CB-POP-FRONT-OUT                              | 0.0003          | 0.0006
BRISC           | NOC-BARRIER-WAIT-OUT-PADDING                  | 0.0002          | 0.0004
BRISC           | WRITE-OUTPUT-TILES                            | 0.0001          | 0.0002
TRISC_0         | CB-POP-FRONT                                  | 0.0001          | 0.0001
TRISC_0         | PACK-OUTPUT                                   | 0.0000          | 0.0001
BRISC           | CB-POP-FRONT-OUT                              | 0.0000          | 0.0001
TRISC_1         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_2         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_1         | CB-POP-FRONT                                  | 0.0000          | 0.0000
TRISC_2         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_2         | MATMUL-TILES                                  | 0.0000          | 0.0000
TRISC_1         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_2         | CB-POP-FRONT                                  | 0.0000          | 0.0000
TRISC_0         | PACK-WAIT                                     | 0.0000          | 0.0000
