Parsing generated/profiler/.logs/profile_log_device.csv...
Detected Frequency: 1350.0 MHz
Processed 138469 lines

----------------------------------------------------------------------------------------------------------------------------------
ITERATION ANALYSIS (Freq: 1350.0 MHz) - Grouped by Iteration ID
Metrics are averaged across iterations in each group.
Bottleneck analysis: Max duration across all cores.
----------------------------------------------------------------------------------------------------------------------------------

>>> Group: MINIBATCH (IDs >= 100) (Count: 8, IDs: [100, 101, 102, 103, 104, 105, 106, 107])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 0.0356          | 0.0362
BRISC           | BRISC-KERNEL                                  | 0.0318          | 0.0323
TRISC_2         | TRISC-FW                                      | 0.0318          | 0.0321
TRISC_0         | TRISC-FW                                      | 0.0317          | 0.0321
TRISC_1         | TRISC-FW                                      | 0.0316          | 0.0320
TRISC_0         | TRISC-KERNEL                                  | 0.0295          | 0.0298
TRISC_1         | TRISC-KERNEL                                  | 0.0278          | 0.0279
TRISC_1         | MATMUL-TILES                                  | 0.0245          | 0.0247
TRISC_0         | CB-WAIT-FRONT                                 | 0.0183          | 0.0185
TRISC_2         | TRISC-KERNEL                                  | 0.0163          | 0.0166
NCRISC          | NCRISC-FW                                     | 0.0081          | 0.0086
BRISC           | IN1-STREAM-MCAST                              | 0.0079          | 0.0079
BRISC           | WAIT-FOR-OUT-TILES                            | 0.0069          | 0.0069
TRISC_0         | MATMUL-TILES                                  | 0.0064          | 0.0064
NCRISC          | NCRISC-KERNEL                                 | 0.0052          | 0.0056
TRISC_2         | PACK-OUTPUT                                   | 0.0014          | 0.0015
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0008          | 0.0008
BRISC           | NOC-BARRIER-WAIT-OUT-PADDING                  | 0.0004          | 0.0006
BRISC           | WRITE-OUTPUT-TILES                            | 0.0002          | 0.0002
TRISC_1         | PACK-OUTPUT                                   | 0.0001          | 0.0001
TRISC_0         | CB-POP-FRONT                                  | 0.0001          | 0.0001
TRISC_0         | PACK-OUTPUT                                   | 0.0001          | 0.0001
BRISC           | CB-POP-FRONT-OUT                              | 0.0001          | 0.0001
TRISC_2         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_1         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_2         | MATMUL-TILES                                  | 0.0000          | 0.0000
TRISC_0         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_2         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_1         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_1         | CB-POP-FRONT                                  | 0.0000          | 0.0000
TRISC_2         | CB-POP-FRONT                                  | 0.0000          | 0.0000

>>> Group: IGNORED/WARMUP (Count: 2, IDs: [0, 1053146953])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 0.1849          | 0.3333
BRISC           | BRISC-KERNEL                                  | 0.1654          | 0.2982
BRISC           | NOC-MCAST-WAIT-PADDING                        | 0.0794          | 0.1588
TRISC_2         | TRISC-FW                                      | 0.0396          | 0.0469
TRISC_0         | TRISC-FW                                      | 0.0394          | 0.0465
TRISC_1         | TRISC-FW                                      | 0.0390          | 0.0457
TRISC_0         | TRISC-KERNEL                                  | 0.0342          | 0.0384
NCRISC          | NCRISC-FW                                     | 0.0329          | 0.0567
BRISC           | WAIT-FOR-OUT-TILES                            | 0.0307          | 0.0614
NCRISC          | NCRISC-KERNEL                                 | 0.0249          | 0.0439
TRISC_1         | TRISC-KERNEL                                  | 0.0248          | 0.0279
TRISC_2         | TRISC-KERNEL                                  | 0.0202          | 0.0236
TRISC_1         | MATMUL-TILES                                  | 0.0123          | 0.0245
BRISC           | NOC-BARRIER-WAIT-OUT-PADDING                  | 0.0095          | 0.0189
TRISC_0         | CB-WAIT-FRONT                                 | 0.0091          | 0.0182
BRISC           | IN1-STREAM-MCAST                              | 0.0039          | 0.0079
BRISC           | WAIT-FOR-OUT-TILES                            | 0.0034          | 0.0069
TRISC_0         | MATMUL-TILES                                  | 0.0032          | 0.0064
BRISC           | WRITE-OUTPUT-TILES                            | 0.0010          | 0.0020
TRISC_2         | PACK-OUTPUT                                   | 0.0007          | 0.0015
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0004          | 0.0007
BRISC           | CB-POP-FRONT-OUT                              | 0.0003          | 0.0006
BRISC           | NOC-BARRIER-WAIT-OUT-PADDING                  | 0.0002          | 0.0004
BRISC           | WRITE-OUTPUT-TILES                            | 0.0001          | 0.0002
TRISC_1         | PACK-OUTPUT                                   | 0.0001          | 0.0001
TRISC_0         | CB-POP-FRONT                                  | 0.0001          | 0.0001
TRISC_0         | PACK-OUTPUT                                   | 0.0000          | 0.0001
BRISC           | CB-POP-FRONT-OUT                              | 0.0000          | 0.0001
TRISC_2         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_1         | CB-WAIT-FRONT                                 | 0.0000          | 0.0000
TRISC_2         | MATMUL-TILES                                  | 0.0000          | 0.0000
TRISC_0         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_2         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_1         | PACK-WAIT                                     | 0.0000          | 0.0000
TRISC_1         | CB-POP-FRONT                                  | 0.0000          | 0.0000
TRISC_2         | CB-POP-FRONT                                  | 0.0000          | 0.0000
