Parsing generated/profiler/.logs/profile_log_device.csv...
Detected Frequency: 1350.0 MHz
Processed 1706203 lines

----------------------------------------------------------------------------------------------------------------------------------
ITERATION ANALYSIS (Freq: 1350.0 MHz) - Grouped by Iteration ID
Metrics are averaged across iterations in each group.
Bottleneck analysis: Max duration across all cores.
----------------------------------------------------------------------------------------------------------------------------------

>>> Group: LARGE_BATCH (IDs < 100) (Count: 1, IDs: [1])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 0.2203          | 0.2203
BRISC           | BRISC-KERNEL                                  | 0.2163          | 0.2163
TRISC_2         | TRISC-FW                                      | 0.2065          | 0.2065
TRISC_0         | TRISC-FW                                      | 0.2054          | 0.2054
TRISC_1         | TRISC-FW                                      | 0.2053          | 0.2053
NCRISC          | NCRISC-FW                                     | 0.2035          | 0.2035
TRISC_2         | TRISC-KERNEL                                  | 0.2032          | 0.2032
TRISC_0         | TRISC-KERNEL                                  | 0.2011          | 0.2011
NCRISC          | NCRISC-KERNEL                                 | 0.2005          | 0.2005
TRISC_1         | TRISC-KERNEL                                  | 0.1988          | 0.1988
TRISC_2         | BATCH-ITERATION                               | 0.1688          | 0.1688
TRISC_1         | BATCH-ITERATION                               | 0.1683          | 0.1683
TRISC_0         | BATCH-ITERATION                               | 0.1682          | 0.1682
NCRISC          | NOC-BARRIER-WAIT-IN0-PADDING                  | 0.1520          | 0.1520
TRISC_0         | CB-WAIT-FRONT                                 | 0.1126          | 0.1126
BRISC           | IN1-STREAM-MCAST                              | 0.0446          | 0.0446
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0319          | 0.0319
BRISC           | READ-IN1-DRAM-TO-SRAM-PADDING                 | 0.0268          | 0.0268
NCRISC          | READ-IN0-DRAM-TO-SRAM-PADDING                 | 0.0061          | 0.0061
TRISC_0         | CB-POP-FRONT                                  | 0.0032          | 0.0032
TRISC_2         | CB-WAIT-FRONT                                 | 0.0010          | 0.0010
TRISC_2         | CB-POP-FRONT                                  | 0.0009          | 0.0009
TRISC_1         | CB-POP-FRONT                                  | 0.0009          | 0.0009
TRISC_1         | CB-WAIT-FRONT                                 | 0.0009          | 0.0009

>>> Group: MINIBATCH (IDs >= 100) (Count: 8, IDs: [100, 101, 102, 103, 104, 105, 106, 107])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 0.1584          | 0.1604
NCRISC          | NCRISC-FW                                     | 0.1582          | 0.1599
TRISC_2         | TRISC-FW                                      | 0.1574          | 0.1589
TRISC_0         | TRISC-FW                                      | 0.1574          | 0.1588
TRISC_1         | TRISC-FW                                      | 0.1572          | 0.1586
NCRISC          | NCRISC-KERNEL                                 | 0.1549          | 0.1562
TRISC_0         | TRISC-KERNEL                                  | 0.1547          | 0.1560
BRISC           | BRISC-KERNEL                                  | 0.1540          | 0.1558
TRISC_2         | TRISC-KERNEL                                  | 0.1537          | 0.1550
TRISC_1         | TRISC-KERNEL                                  | 0.1533          | 0.1547
TRISC_2         | BATCH-ITERATION                               | 0.1516          | 0.1529
TRISC_0         | BATCH-ITERATION                               | 0.1515          | 0.1529
TRISC_1         | BATCH-ITERATION                               | 0.1515          | 0.1528
NCRISC          | NOC-BARRIER-WAIT-IN0-PADDING                  | 0.1347          | 0.1358
TRISC_0         | CB-WAIT-FRONT                                 | 0.1293          | 0.1305
BRISC           | IN1-STREAM-MCAST                              | 0.0614          | 0.0623
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0251          | 0.0256
NCRISC          | READ-IN0-DRAM-TO-SRAM-PADDING                 | 0.0063          | 0.0064
BRISC           | READ-IN1-DRAM-TO-SRAM-PADDING                 | 0.0052          | 0.0052
TRISC_0         | CB-POP-FRONT                                  | 0.0030          | 0.0030
TRISC_1         | CB-POP-FRONT                                  | 0.0012          | 0.0013
TRISC_1         | CB-WAIT-FRONT                                 | 0.0012          | 0.0012
