Parsing research_codes/profile_log_device_detailed_nosharding_w0m1.csv...
Detected Frequency: 1350.0 MHz
Processed 1706203 lines

----------------------------------------------------------------------------------------------------------------------------------
ITERATION ANALYSIS (Freq: 1350.0 MHz) - Grouped by Iteration ID
Metrics are averaged across iterations in each group.
Bottleneck analysis: Max duration across all cores.
----------------------------------------------------------------------------------------------------------------------------------

>>> Group: LARGE_BATCH (IDs < 100) (Count: 1, IDs: [1])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 0.2194          | 0.2194
BRISC           | BRISC-KERNEL                                  | 0.2154          | 0.2154
TRISC_2         | TRISC-FW                                      | 0.2050          | 0.2050
TRISC_0         | TRISC-FW                                      | 0.2040          | 0.2040
TRISC_1         | TRISC-FW                                      | 0.2040          | 0.2040
NCRISC          | NCRISC-FW                                     | 0.2023          | 0.2023
TRISC_2         | TRISC-KERNEL                                  | 0.2018          | 0.2018
TRISC_0         | TRISC-KERNEL                                  | 0.2001          | 0.2001
NCRISC          | NCRISC-KERNEL                                 | 0.1992          | 0.1992
TRISC_1         | TRISC-KERNEL                                  | 0.1976          | 0.1976
TRISC_2         | BATCH-ITERATION                               | 0.1681          | 0.1681
TRISC_1         | BATCH-ITERATION                               | 0.1676          | 0.1676
TRISC_0         | BATCH-ITERATION                               | 0.1675          | 0.1675
NCRISC          | NOC-BARRIER-WAIT-IN0-PADDING                  | 0.1511          | 0.1511
TRISC_2         | GEMM-PROCESSING                               | 0.0511          | 0.0511
TRISC_1         | GEMM-PROCESSING                               | 0.0506          | 0.0506
TRISC_2         | PACK-PARTIAL                                  | 0.0466          | 0.0466
TRISC_1         | MATMUL-TILES                                  | 0.0461          | 0.0461
BRISC           | IN1-STREAM-MCAST                              | 0.0442          | 0.0442
TRISC_0         | CB-WAIT-FRONT                                 | 0.0364          | 0.0364
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0322          | 0.0322
BRISC           | READ-IN1-DRAM-TO-SRAM-PADDING                 | 0.0269          | 0.0269
TRISC_0         | GEMM-PROCESSING                               | 0.0149          | 0.0149
NCRISC          | READ-IN0-DRAM-TO-SRAM-PADDING                 | 0.0061          | 0.0061
TRISC_0         | MATMUL-TILES                                  | 0.0013          | 0.0013
TRISC_0         | CB-POP-FRONT                                  | 0.0009          | 0.0009
TRISC_1         | PACK-PARTIAL                                  | 0.0007          | 0.0007
TRISC_2         | RELEASE-DST                                   | 0.0006          | 0.0006
TRISC_2         | CB-WAIT-FRONT                                 | 0.0003          | 0.0003
TRISC_2         | CB-POP-FRONT                                  | 0.0003          | 0.0003
TRISC_1         | ACQUIRE-DST                                   | 0.0003          | 0.0003
TRISC_2         | ACQUIRE-DST                                   | 0.0003          | 0.0003
TRISC_2         | MATMUL-TILES                                  | 0.0003          | 0.0003
TRISC_1         | CB-WAIT-FRONT                                 | 0.0003          | 0.0003
TRISC_1         | CB-POP-FRONT                                  | 0.0003          | 0.0003
TRISC_0         | RELEASE-DST                                   | 0.0003          | 0.0003
TRISC_1         | RELEASE-DST                                   | 0.0003          | 0.0003
TRISC_0         | ACQUIRE-DST                                   | 0.0002          | 0.0002
TRISC_0         | PACK-PARTIAL                                  | 0.0002          | 0.0002
TRISC_0         | MM-INIT                                       | 0.0002          | 0.0002
TRISC_2         | MM-INIT                                       | 0.0001          | 0.0001
TRISC_1         | MM-INIT                                       | 0.0001          | 0.0001

>>> Group: MINIBATCH (IDs >= 100) (Count: 8, IDs: [100, 101, 102, 103, 104, 105, 106, 107])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
NCRISC          | NCRISC-FW                                     | 0.1598          | 0.1622
BRISC           | BRISC-FW                                      | 0.1598          | 0.1624
TRISC_2         | TRISC-FW                                      | 0.1590          | 0.1613
TRISC_0         | TRISC-FW                                      | 0.1590          | 0.1613
TRISC_1         | TRISC-FW                                      | 0.1588          | 0.1611
NCRISC          | NCRISC-KERNEL                                 | 0.1565          | 0.1588
TRISC_0         | TRISC-KERNEL                                  | 0.1563          | 0.1585
BRISC           | BRISC-KERNEL                                  | 0.1554          | 0.1578
TRISC_2         | TRISC-KERNEL                                  | 0.1553          | 0.1575
TRISC_1         | TRISC-KERNEL                                  | 0.1549          | 0.1571
TRISC_2         | BATCH-ITERATION                               | 0.1529          | 0.1551
TRISC_1         | BATCH-ITERATION                               | 0.1528          | 0.1550
